CUSTOMER;C4C;CHANNEL;SECTOR;PRODUCT;SUPPLIER;SAMPLE STATUE;COMM CUST;RESULTS & NEXT STEP;YMB;Y VOL kg;VOL PO kg;REF PRODUIT SAP;PRIX/KG;REP;SAP ID;STARTED ON;UP TO DATE;OTHER
LIMONADERIE DE PARIS;NO;BOISSON;JUS/SS ALCHOOL;AROME GRENADINE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;1000;50;;;;;;2022-11-05;;
LUCIEN GEORGELIN;NO;CONFISERIE;JELLY/GUMMIES;TEXTURANT;MULTIPLE;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;;;;;;MAGALIE;;2022-11-05;;
THE FRENCH HERBORIST;NO;BOISSON;THE;AROME GRANULE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;;;2022-11-05;;
CARRELEON;NO;CONFISERIE;CHOCOLAT;AROMES MANGUE - PASSION - FRUIT ROUGE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;VANESSA;;2022-11-10;;un mix pour préparation gâteau sous forme de poudre
CARRELEON;NO;CONFISERIE;CHOCOLAT;AROMES MYRTILLE CASSIS OU GROSEILLE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;VANESSA;;2022-11-10;;snack aux fruits sous forme de tablette contenant une part importante de beurre de cacao. 
JEAN NIEL SAS;NO;OTHER;JUS/SS ALCHOOL;ACIDES FUMARIQUE ET ACIDE MALIQUE;MULTIPLE;NO SAMPLE REQUEST;CUSTOMER WAITING FOR PRICING;WAITING FOR CUSTOMER;;;;;;VANESSA;;2022-11-15;;
LAFORT;NO;BOISSON;VIN;PVPP;BRENNTAG;NO SAMPLE REQUEST;CUSTOMER WAITING FOR PRICING;WAITING FOR SAMPLE & PRICING;;1000;; PVPP ;;MAGALIE;;2022-11-15;;
PRAXENS;NO;OTHER;JUS/SS ALCHOOL;ACIDES CITRIQUE  ET ACIDE MALIQUE;MULTIPLE;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;250;25;; ACIDE MALIQUE ALIM E296 GRF POLYNT S25ACI CITRIQ H2O GR CIT BELGE S25 25 Kg ;13,5;VANESSA;;2022-11-15;;
FRATE MATE CLUB;YES;BOISSON;JUS/SS ALCHOOL;AROME CITRON ET GINGEMBRE;AROMATECH ;NO SAMPLE REQUEST;NO REPLY;CLOSED  LOST;500;25;; 7.30635 Arôme Nat. Gingembre 63% VOL (CERT BIO)/7.99631 Arôme Nat. Citron 13,5% VOL (CERT BIO) ;89,87;VANESSA;NA;2 aout 2022;2022-10-03;cannot meet MOQ
BYPEPITE;NO;BOISSON;THE;AROMES;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;2000;100;;;NO PRICING;VANESSA;NA;;;
CHOCMOD;YES;CONFISERIE;CHOCOLAT;MBM-SM NBA030822-1 LIKE SUGAR STE /MBM-SM NBA030822-2 LIKE SUGAR SUC ;BRENNTAG AUTRICHE;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;10000;15000;;;;BENOIT;21307;;2022-09-30;transfere a FS Camille B. 
GER'SON;YES;CONFISERIE;JELLY/GUMMIES;AMIDON DE PDT AMYLOGUM;AVEBE ;NO SAMPLE REQUEST;;PROJET LABO;;;;;;FANNY;;;;DEMANDE POUR REMPLACER FARINE DE BLE DANS REGLISSE - CLIENT N'ACCEPTE PAS PRODUIT DE MAIS - PROJET LABO SUR AMYLOGUM A DEVELOPPER  ENVOYER DES ECHANTILLONS POUR DEGUSTATION AVEC LE CLIENT
MAITRE PRUNILLE;YES;CONFISERIE;PREP FRUIT;PURACAL PP;CORBION;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2500;550;;;;FANNY;;;2022-10-20;Discussion avec client - mise a jour du projet - echantillon en cours de livraison - attendre test client pour la suite 
MAITRE PRUNILLE;YES;CONFISERIE;PREP FRUIT;VIT D;;NO SAMPLE REQUEST;N/A;CLOSED  LOST;500;10;;;;FANNY;;;2022-10-20;Trop petite quantite pour livrraison vit D en directe de Brenntag
MARIE BRIZARD;YES;BOISSON;SPIRITS;MALTODEXTRINE;OMNIA;NO SAMPLE REQUEST;N/A;CLOSED  LOST;3000;500;;;NO PRICING;VANESSA;;;2022-10-20;Discussion avec client - mise a jour du projet + envoi des FT de produit solution - attend retour du client sur demande d echantillon
METAROM;YES;BOISSON;OTHER;AMIDON NATIF TAPIOCA;AVEBE ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;PRICING SENT TO CUSTOMER;1500;1000;; SAP 130364  NATIVE TAPIOCA STARCH FG ;2,2;BENOIT;;;;
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;LECITHINE DE TOUR ou COLZA;LECITIN;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR CUSTOMER;;10000;;;NO PRICING;BENOIT;;;;
SUCCRALLIANCE;YES;CONFISERIE;BONBON;CAFOS M;BUDENHEIM;REQUEST AT SUPPLIER;CUSTOMER TRIED SAMPLE;CLOSED WIN;500;50; 50   ; 138 812   ;13,5;BENOIT;;;2022-09-30;RECHERCHE FLUIDIFIANT POUR AMIDON DE COFFRAGE
