CUSTOMER;C4C;CHANNEL;SECTOR;PRODUCT;SUPPLIER;SAMPLE STATUE;COMM CUST;RESULTS & NEXT STEP;YMB;Y VOL kg;VOL PO kg;REF PRODUIT SAP;PRIX/KG;REP;SAP ID;STARTED ON;UP TO DATE;OTHER
METAROM;YES;CONFISERIE;CHOCOLAT;SORBITOL ;CARGILL;NO SAMPLE REQUEST;;WAITING FOR CUSTOMER ;2500;2500;; SAP 145560   C* SORBIDEX P 16619 S25 25 KG              ;2950;BENOIT;11942;01-sept-22;;waiting for customer
NOSTEA;NO;BOISSON;JUS/SS ALCHOOL;COLORANTS ;ROHA;REQUEST AT LAB;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;500;50;;;NO PRICING;CINDY;123355;01-sept-22;30-sept-22;waiting for sampling (Roha)
JARDIN D'ORBRIE;YES;BOISSON;JUS/SS ALCHOOL;AROME PECHE - MENTHE;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1000;50;; 7.30418 Arôme Menthe/7.31049 Arôme Pêche ;122.08/51.79;CINDY;NA;02-sept-22;30-sept-22;waiting for customer feedback 
TOPLESS DRINK;YES;BOISSON;JUS/SS ALCHOOL;AROME PECHE - YUZU;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;CLOSED  LOST;1000;50;;" Arôme yuzu 7.92419 / Arôme pêche 7.31049 ;-	Arôme pêche de vigne 7.90598 ;-	Arôme type pêche 7.90578  ";NO PRICING;CINDY;123504;02-sept-22;19-oct-22;product not selected (via protial…)
AROMATECH;YES;BOISSON;JUS/SS ALCHOOL;MELANGE VIT ;BRENNTAG AUTRICHE;REQUEST AT SUPPLIER;N/A;CLOSED  LOST;2000;100;;;NO PRICING;VANESSA;14200;15-sept-22;17-sept-22;projet pour boisson energy type redbull - Functionnal Solution Vit Avec Camille - pas assez rapide - sourcing ailleurs
BEDOUIN;NO;CONFISERIE;OTHER;AROME BIO WASABI /RAIFORT;AROMATECH ;REQUEST AT SUPPLIER;NO REPLY;CLOSED  LOST;2000;100;;;NO PRICING;FANNY;18527;15/09/2022;30/09/2022;demande arome wasabi ou raifort bio -- impossible a faire
FABRIQUE DU FAUBOURG;YES;BOISSON;JUS/SS ALCHOOL;AROME CHATAIGNE;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER TRIED SAMPLE;CLOSED  LOST;500;25;; 7.31080 Arôme Nat Chataigne ;100.17;CINDY;NA;15-sept-22;03-oct-22;client va utiliser de la crème de marron au lieu des aromes
GIFFARD;NO;BOISSON;SIROP;ENZYMES;BRENNTAG AUTRICHE;REQUEST AT LAB;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;;;;;NO PRICING;MAGALIE;99253;15-sept-22;;transfere a FS Camille B. 
INNOVADRINK;NO;BOISSON;JUS/SS ALCHOOL;COLORANT FUTURAL BLACK CARROT;ROHA;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;2500;250;;;11,9;VANESSA;119606;15-sept-22;;waiting for customer
PROTIAL;NO;BOISSON;JUS/SS ALCHOOL;AROME ABRICOT;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1000;50;; arôme abricot 7.93281 ;NO PRICING;VANESSA;;15-sept-22;;
PURATOS;NO;CONFISERIE;CHOCOLAT;BLACK SYRUP AND DARK MALT;CARGILL;NO SAMPLE REQUEST;N/A;CLOSED  LOST;3000;100;;;NO PRICING;BENOIT;123418;15-sept-22;;pas de solution - 
SEFA;NO;CONFISERIE;OTHER;AROME ENROBAGE NOIX;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;1500;75;;;NO PRICING;CINDY;NA;20/09/2022;;waiting for Aromatech
PCB CREATION;YES;CONFISERIE;JELLY/GUMMIES;PERFECTASOL D500 / ETENIA457;AVEBE ;REQUEST AT LAB;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;2500;100;;;NO PRICING;CINDY;51204;26-sept-22;12-nov-22;customer tried solanic 300 + perfectasol D500 + Etenia 457 - ok avec Pecfectasol D500 mais probleme de dissolution du produit - granule - a voir avec Avebe
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;ACIDE CITRIQUE A3 M 2;TEZKIM;RECEIVED BY CUSTOMER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;;;;;NO PRICING;BENOIT;13741;26-sept-22;;waiting for customer test
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;PURAC POWDER 55 - 55NS;CORBION;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;;;;;NO PRICING;BENOIT;13741;26-sept-22;;customer waiting for sampling 
CONFISERIE PINSON;NO;CONFISERIE;BONBON;COLORANT VIOLET;ROHA;REQUEST AT SUPPLIER;CUSTOMER TRIED SAMPLE;CLOSED  LOST;500;25;; EUF0000001309 FUTURALS PRO PRUNE ;21,4;VANESSA;70446;28/09/2022;25-oct-22;couleur ne convient pas - faire une autre proposition (trop rouge) 
CONFISERIE PINSON;NO;CONFISERIE;BONBON;STEVIA;CRISTALCO;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE & PRICING;1000;50;;;;VANESSA;70446;28/09/2022;;customer waiting for sampling
HERBAPAC;NO;BOISSON;JUS/SS ALCHOOL;AROME KIWI ET CHATAINGNE;AROMATECH ;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER ;1000;50;;" 7.16831 Arôme Kiwi/-	7.31080 Arôme Nat de Châtaigne ";NO PRICING;CINDY;NA;29/09/2022;;waiting for customer
HYSOPE;NO;BOISSON;JUS/SS ALCHOOL;AROME FLEUR DE SUREAU;AROMATECH ;RECEIVED BY CUSTOMER;CUSTOMER TRIED SAMPLE;CLOSED  LOST;500;25;; 7.31046 Arome Nat Fleur de Sureau 56% VOL (Cert BIO) ;57,18;CINDY;NA;29/09/2022;;arome pas retenu - ne correspondait pas a la note florale desiree
SOCRATES;YES;BOISSON;JUS/SS ALCHOOL;AROME GINGEMBRE ET CASIS BIO;AROMATECH ;NO SAMPLE REQUEST;N/A;CLOSED WIN;500;25;; 7.99100 Extrait Gingembre Bio/7.31002 Arôme Cassis Bio ;46,88/46,41;CINDY;121641;29/09/2022;12/10/2022+I38R31I31:Q37H31:Q38G31:Q38R3A31:Q31;customer placed order on ginger extract
COMBIER;NO;BOISSON;SIROP;AROME ANANAS;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;500;25;;;NO PRICING;MAGALIE;;07/10/2022;;
COMBIER;NO;BOISSON;SIROP;AROME ROSE NAT DE;AROMATECH ;NO SAMPLE REQUEST;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;500;25;;;;MAGALIE;;07/10/2022;;
RICHART;NO;CONFISERIE;CHOCOLAT;SIROP GLUCOSE;CARGILL;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;750;1400;; C*SWEET M 01623/C*SWEET 01487 ;1800;CINDY;;07/10/2022;;
RICHART;NO;CONFISERIE;CHOCOLAT;COLORANTS;ROHA;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;700;50;; NATRACOL CURCUMIN S20 25 KG/IDACOL ALLURA RED E129 GRAN ROHA CA25 ;26.80/36.80;CINDY;;07/10/2022;;
CARAMANFRUIT (Groupe VALADE);NO;CONFISERIE;PREP FRUIT;AROME KIWI ET COLORANT VERT;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE & PRICING;1500;100;;;NO PRICING;FANNY;;12/10/2022;;
SVE DISTILLERIE;YES;BOISSON;VIN;AROMES SUREAU;AROMATECH ;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;1000;50;; 7.91379 Mel. Arome type fleur de sureau 39% VOL + E330/7.31046 Arome Nat Fleur de Sureau 56% VOL (Cert BIO) ;40.40/54.19;CINDY;;15/10/2022;;
BISOUDRINK;NO;BOISSON;JUS/SS ALCHOOL;AROME ROMARIN BIO;AROMATECH ;NO SAMPLE REQUEST;N/A;CLOSED  LOST;500;25;; 7.30191 Arome Romarin Bio ;NO PRICING;VANESSA;NA;19/10/2022;;no need - change project
METAROM;YES;BOISSON;OTHER;DEXTRINE DE BLE;AVEBE ;REQUEST AT SUPPLIER;N/A;CLOSED  LOST;;;;;;BENOIT;;20-oct-22;;attend info de Carol-Anne si produit disponible
CHATEAU DU BARROUX;NO;BOISSON;;ENZYMES;BRENNTAG;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;250;25;; Brennzyme 40 AR + Brennzyme GAF-T HC   ;;CINDY;;01/11/2022;;recherche enzyme pour brassage de whisky
MARIE BRIZARD;NO;BOISSON;SPIRITS;MULTIPLE - TEXTURANTS - TENSIOACTIF - EMULSIFIANT;MULTIPLE;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE & PRICING;3000;500;; Texture Cell + Lecithine + CMC + Polysorbate ;NO PRICING;VANESSA;;01/11/2022;20/10/2022;Client va essayer plusieurs pistes pour eliminer la formation d'une masse de gras en haut de la bouteille (originie base coco grasse) 
NUTRITION SANTE;NO;OTHER;;ENZYMES;BRENNTAG;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;500;44;; BrennZyme GAF-T HC ;;FANNY;;01/11/2022;;
TAMRACOMPAGNY;NO;BOISSON;JUS/SS ALCHOOL;SUCRALOSE + PREMIX VIT;MULTIPLE;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;350;50;; Sucralose Alim E955 Anhui ;58,5;CINDY;;01/11/2022;;Projet nouvelle boisson - development par labo Praxens - Embouteillage - ATTEND RETOUR CLIENT _ PROJET EN STAND BY
LIMONADERIE DE PARIS;YES;BOISSON;JUS/SS ALCHOOL;AROME PAMPLEMOUSE/ORANGE/PAMPLEMOUSE ROSE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;;;02/11/2022;;continue projet pamp - orange + demande arome pamp rose
IOC;NO;BOISSON;VIN;SOLANIC 300;AVEBE ;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;1000;100;; SOLANIC 300 ;40;CINDY;;05/11/2022;;Attend retour client 
LIMONADERIE DE PARIS;NO;BOISSON;JUS/SS ALCHOOL;AROME GRENADINE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;1000;50;;;;;;05/11/2022;;
LUCIEN GEORGELIN;NO;CONFISERIE;JELLY/GUMMIES;TEXTURANT;MULTIPLE;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;;;;;;MAGALIE;;05/11/2022;;
THE FRENCH HERBORIST;NO;BOISSON;THE;AROME GRANULE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;;;05/11/2022;;
CARRELEON;NO;CONFISERIE;CHOCOLAT;AROMES MANGUE - PASSION - FRUIT ROUGE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;VANESSA;;10/11/2022;;un mix pour préparation gâteau sous forme de poudre
CARRELEON;NO;CONFISERIE;CHOCOLAT;AROMES MYRTILLE CASSIS OU GROSEILLE;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2000;100;;;;VANESSA;;10/11/2022;;snack aux fruits sous forme de tablette contenant une part importante de beurre de cacao. 
JEAN NIEL SAS;NO;OTHER;JUS/SS ALCHOOL;ACIDES FUMARIQUE ET ACIDE MALIQUE;MULTIPLE;NO SAMPLE REQUEST;CUSTOMER WAITING FOR PRICING;WAITING FOR CUSTOMER;;;;;;VANESSA;;15/11/2022;;
LAFORT;NO;BOISSON;VIN;PVPP;BRENNTAG;NO SAMPLE REQUEST;CUSTOMER WAITING FOR PRICING;WAITING FOR SAMPLE & PRICING;;1000;; PVPP ;;MAGALIE;;15/11/2022;;
PRAXENS;NO;OTHER;JUS/SS ALCHOOL;ACIDES CITRIQUE  ET ACIDE MALIQUE;MULTIPLE;NO SAMPLE REQUEST;N/A;WAITING FOR CUSTOMER;250;25;; ACIDE MALIQUE ALIM E296 GRF POLYNT S25ACI CITRIQ H2O GR CIT BELGE S25 25 Kg ;13.50/11.50;VANESSA;;15/11/2022;;
FRATE MATE CLUB;YES;BOISSON;JUS/SS ALCHOOL;AROME CITRON ET GINGEMBRE;AROMATECH ;NO SAMPLE REQUEST;NO REPLY;CLOSED  LOST;500;25;; 7.30635 Arôme Nat. Gingembre 63% VOL (CERT BIO)/7.99631 Arôme Nat. Citron 13,5% VOL (CERT BIO) ;89,87/39,55;VANESSA;NA;2 aout 2022;03-oct-22;cannot meet MOQ
BYPEPITE;NO;BOISSON;THE;AROMES;AROMATECH ;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;2000;100;;;NO PRICING;VANESSA;NA;;;
CHOCMOD;YES;CONFISERIE;CHOCOLAT;MBM-SM NBA030822-1 LIKE SUGAR STE /MBM-SM NBA030822-2 LIKE SUGAR SUC ;BRENNTAG AUTRICHE;REQUEST AT SUPPLIER;CUSTOMER RECEIVE SAMPLE;WAITING FOR CUSTOMER;10000;15000;;;;BENOIT;21307;;30-sept-22;transfere a FS Camille B. 
GER'SON;YES;CONFISERIE;JELLY/GUMMIES;AMIDON DE PDT AMYLOGUM;AVEBE ;NO SAMPLE REQUEST;;PROJET LABO;;;;;;FANNY;;;;DEMANDE POUR REMPLACER FARINE DE BLE DANS REGLISSE - CLIENT N'ACCEPTE PAS PRODUIT DE MAIS - PROJET LABO SUR AMYLOGUM A DEVELOPPER  ENVOYER DES ECHANTILLONS POUR DEGUSTATION AVEC LE CLIENT
MAITRE PRUNILLE;YES;CONFISERIE;PREP FRUIT;PURACAL PP;CORBION;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR SAMPLE;2500;550;;;;FANNY;;;20/10/2022;Discussion avec client - mise a jour du projet - echantillon en cours de livraison - attendre test client pour la suite 
MAITRE PRUNILLE;YES;CONFISERIE;PREP FRUIT;VIT D;;NO SAMPLE REQUEST;N/A;CLOSED  LOST;500;10;;;;FANNY;;;20/10/2022;Trop petite quantite pour livrraison vit D en directe de Brenntag
MARIE BRIZARD;YES;BOISSON;SPIRITS;MALTODEXTRINE;OMNIA;NO SAMPLE REQUEST;N/A;CLOSED  LOST;3000;500;;;NO PRICING;VANESSA;;;20/10/2022;Discussion avec client - mise a jour du projet + envoi des FT de produit solution - attend retour du client sur demande d echantillon
METAROM;YES;BOISSON;OTHER;AMIDON NATIF TAPIOCA;AVEBE ;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;PRICING SENT TO CUSTOMER;1500;1000;; SAP 130364  NATIVE TAPIOCA STARCH FG ;2,2;BENOIT;;;;
SUC (CONF DU NORD);YES;CONFISERIE;BONBON;LECITHINE DE TOUR ou COLZA;LECITIN;REQUEST AT SUPPLIER;CUSTOMER WAITING FOR SHIPPING CONF;WAITING FOR CUSTOMER;;10000;;;NO PRICING;BENOIT;;;;
SUCCRALLIANCE;YES;CONFISERIE;BONBON;CAFOS M;BUDENHEIM;REQUEST AT SUPPLIER;CUSTOMER TRIED SAMPLE;CLOSED WIN;500;50; 50   ; 138 812   ;13,5;BENOIT;;;30-sept-22;RECHERCHE FLUIDIFIANT POUR AMIDON DE COFFRAGE
